"District_Name","RuralandUrban","households","Livable","Dilapidated","Latrine_premise","household_rural","houshold_urban","rural_livable","rural_dilapidated","rural_premise","urban_livable","urban_dilapidated","urban_premise"
"Sahibzada Ajit Singh Nagar","Total",100,31.9,5.2,79.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sahibzada Ajit Singh Nagar","Urban",100,23.7,3.8,92.4,0.0,119.9,0.0,0.0,0.0,23.7,3.8,92.4
"Sangrur","Rural",100,21533133529.889458,100965.309,1300962.8339999998,21534535458.032455,0.0,21533133529.889458,100965.309,1300962.8339999998,0.0,0.0,0.0
"Sangrur","Total",100,22683758985.68508,94344.633,1370479.932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sangrur","Urban",100,25204176650.7612,77792.943,1522755.48,0.0,25205777199.1842,0.0,0.0,0.0,25204176650.7612,77792.943,1522755.48
"Barnala","Rural",100,2844312309.98658,38709.255000000005,477612.65400000004,2844828631.89558,0.0,2844312309.98658,38709.255000000005,477612.65400000004,0.0,0.0,0.0
"Barnala","Total",100,2961347604.53715,37518.201,497265.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Barnala","Urban",100,3198964717.71558,35136.093,537165.354,0.0,3199537019.16258,0.0,0.0,0.0,3198964717.71558,35136.093,537165.354
"Chandigarh","Rural",100,9802977382.0,29552.6,928796.0,9803935730.6,0.0,9802977382.0,29552.6,928796.0,0.0,0.0,0.0
"Chandigarh","Total",100,9758418393.899998,36940.75,924574.1999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chandigarh","Urban",100,9758418393.899998,36940.75,924574.1999999998,0.0,9759379908.849998,0.0,0.0,0.0,9758418393.899998,36940.75,924574.1999999998
"Uttarkashi","Rural",100,430379231.2142,9902.58,130383.97,430519517.76420003,0.0,430379231.2142,9902.58,130383.97,0.0,0.0,0.0
"Uttarkashi","Total",100,476141073.5205201,9572.493999999999,144247.58200000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Uttarkashi","Urban",100,996954421.6734,2640.688,302028.69,0.0,997259091.0514001,0.0,0.0,0.0,996954421.6734,2640.688,302028.69
"Chamoli","Rural",100,720766037.3174999,9790.125,184054.34999999998,720959881.7924999,0.0,720766037.3174999,9790.125,184054.34999999998,0.0,0.0,0.0
"Chamoli","Total",100,814312267.6927501,9006.914999999999,207942.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chamoli","Urban",100,1341851665.21875,3524.4450000000006,342654.375,0.0,1342197844.03875,0.0,0.0,0.0,1341851665.21875,3524.4450000000006,342654.375
"Rudraprayag","Rural",100,19.8,1.9,51.0,72.7,0.0,19.8,1.9,51.0,0.0,0.0,0.0
"Rudraprayag","Total",100,19.4,1.8,52.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
